Brand,Description,UPC,"Cases 
On Hand","Items
 Case/Unit",Size,Amount Taken,Date Taken,Our Cost
Sultan ,Foule Mudammas,10074265002533,0,24 cans,14.8 oz,,,
Sultan/Barous,Green Tea Grains,6111260276341,2,12,500 g,,,
Sunwhite,Calrose Rice,9310140011356,19,8,4 KG,,,
Supremo Italiano,Giardinera,760695003020,42,4,1 GAL,,,
Tadim,Sunflower Seeds Roasted and Salted,190813201227,37,12,300 g,,,
Tadim,Sunflower Seeds Roasted ,190813201210,32,12,300 g,,,
Tam Tam,Tomato ,*8500459277760,0,14,120 g,,,
Taragalte,Green Tea,6111267161015,2,20,200 g,,,
Tazah ,Pure Vegetable Ghee,7389603118422,3,6,2 KG,,,
Tazah ,Grape Leaves,8690777020855,1,20,1 LB,,,
Tea Break,Karak Tea Chai,6223000274491,9,24X8,25 g,,,
The Raisin Company (TRC),Golden Raisins (Bulk),,6,1,30 LB,,,
Tiger,Spicy Cheese,6223000501894,2,6,200 g,,,
Today,Starwberry Croissant,8693029911161,26,12X6,45 g,,,
Today,Chocolate Hazelnut,8693029911147,6,12X6,45 g,,,
Torani,Mango Real Fruit Smoothie Mix ,90010212A30925,1,6,64 oz,,,
Ulker ,Tea Biscuits,806796913377,70,5,1 KG,,,
Vimto,Fruit Flavor Drink,74265021261,19,8,2 L,,,
Vimto,Saudi Vimto Syrup,10074265020438,26,12,24 oz,,,
Vimto,Sparkling Fruit Flavor Drink (Cans),10074265005992,93,24,330 ml,,,
Vimto,Fruit Flavor Drink ,10074265001611,8,12,500 ml,,,
Wellmade,Tea Biscuit,822514250654,8,12,1000 g,,,
Yafa,Premium Egyptian Rice,783970097088,10,4,10 LB,,,
Yafa,Red Chili Paste,6253809450826,1,12,13.05 oz,,,
Yafa,Extra Virgin Olive Oil,697566061103,2,4,3 L,,,
Ziyad Brand,Tomato Paste,74265016311,5,12,700 g,,,
Ziyad Brand,Egypt's Best Rice,10074265017315,79,4,10 LB,,,
Ziyad Brand,Jameed Kishk,10074265005978,6,12,1 KG,,,
Ziyad Brand,Halal Marshmallows (White),10074265005091,31,24,250 g,,,
Ziyad Brand,Filled Milk Powder,10074265001598,3,6,63.5 oz,,,
Ziyad Brand,Filled Milk Powder,10074265001529,3,12,31.7 oz,,,
Ziyad Brand,Filled Milk Powder,10074265001512,6,12,14.1 oz,,,
Ziyad Brand,Grape Leaves,10074265001994,3,12,2 LB,,,
Ziyad Brand,Coconut Macaroon,74265003472,0,12,12 oz,,,
Ziyad Brand,Red Lentils,10074265015847,0,12,2 LB,,,
Ziyad Brand,Medium Couscous,10074265003019,2,12,2 LB,,,
Ziyad Brand,Red Burghol Wheat Medium #2,10074265023262,1,12,2 LB,,,
Ziyad Brand,Orange Blossom Water,10074265005152,1,24,10 oz,,,
Ziyad Brand,Butter Ghee,10074265001581,5,12,28 oz,,,
Ziyad Brand,Nablus Green Cracked Olives,110074265016004,14,6,3 LB,,,
Ziyad Brand,Balady Green Cracked Olives,110074265000706,34,6,3 LB,,,
Ziyad Brand,Halal Marshmallows (Fruit Flavored),10074265021848,0,24,250 g,,,
Ziyad Brand,Tea Biscuits,10074265012860,1,4 (boxes) X16 (packs),175 g,,,
Ziyad Brand ,Rose Water,10074265005145,3,24,10 oz,,,
,Split Fava Beans,,1,1,10 LB,,,
